ObservationURI,ObservationName,Label,RelatedSampleURI,OtherID,SampleDepth,MeasurementUnits,SiteLocationURI,SiteLocationName,LocalityTerms,County,State,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,SampleCollectionDate,SampleMeasurementDate,SampleType,SampleShape,SampleDimensionsHeight,SampleDimensionsWidth,SampleDimensionsLength,SampleDimensionsUnits,SampleDensity,UncertaintyDensity,SampleDensityUnits,Laboratory,MeasurementDevice,MeasurementProcedure,MeasurementPressure,MeasurementPressureUnits,SampleTemperature,SampleTemperatureUnits,MeasurementDuration,MeasurementDirection,MeasurementRun,BulkMixingFormula,SaturationFluid,SaturatedSampleConductivity,DrySampleConductivity,AverageThermalConductivity,UncertaintyTC,CorrectionTC,CorrectionDescription,UnitsTC,SpecificHeat,UncertaintySpecificHeat,SpecificHeatUnits,ThermalDiffusivity,UncertaintyThermalDiffusivity,UnitsThermalDiffusivity,GeologicFormationName,GeologicFormationURI,GeologicFormationType,DatumElevation,Elevation,Permeability,UnitsPermeability,Porosity,Notes,MetadataURI,Source
EC-25 130-131,EC-25,EC-25 130-131,,,130,meters,,,,Benton,MN,45.6,-93.77,,,,2011,Drill Hole,Cylinder,21.3,0.948,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.44,,,,,,,,,,,,,Glendorado Pluton,,Biotite Hornblende Granodiorite,,,,,,,,
EC-26 124.5-125.5,EC-26,EC-26 124.5-125.5,,,124.5,meters,,,,Benton,MN,45.56,-93.77,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.87,,,,,,,,,,,,,Glendorado Pluton,,Granite,,,,,,,,
EC-27 145-146.5,EC-27,EC-27 145-146.5,,,145,meters,,,,Sherburne,MN,45.53,-93.66,,,,2011,Drill Hole,Cylinder,20.2,0.797,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.85,,,,,,,,,,,,,Tonalitic Orthogneiss,,Tonalitic Orthogneiss,,,,,,,,
EC-3 229.5-230.5,EC-3,EC-3 229.5-230.5,,,229.5,meters,,,,Morrison,MN,45.82,-93.97,,,,2011,Drill Hole,Cylinder,19.27,0.739,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.94,,,,,,,,,,,,,Foley Granite,,Biotite Granite,,,,,,,,
EC-31 204.5-206,EC-31,EC-31 204.5-206,,,204.5,meters,,,,Sherburne,MN,45.48,-93.94,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.28,,,,,,,,,,,,,Reformatory Granite,,Granite,,,,,,,,
EC-34 144-145,EC-34,EC-34 144-145,,,144,meters,,,,Sherburne,MN,45.44,-93.93,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.65,,,,,,,,,,,,,Granite (in Archean Gneiss),,Granite,,,,,,,,
EC-35 205.5-206.5,EC-35,EC-35 205.5-206.5,,,205.5,meters,,,,Sherburne,MN,45.45,-94.01,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.44,,,,,,,,,,,,,Reformatory Granite,,Granodiorite,,,,,,,,
EC-4 78-79,EC-4,EC-4 78-79,,,78,meters,,,,Morrison,MN,45.96,-93.85,,,,2011,Drill Hole,Cylinder,18.21,0.836,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.4,,,,,,,,,,,,,Pease Pluton,,Granite,,,,,,,,
EC-5 161-162,EC-5,EC-5 161-162,,,161,meters,,,,Morrison,MN,45.92,-93.92,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3,,,,,,,,,,,,,Pease Pluton,,Porphoryitic Granite,,,,,,,,
EC-6 50-52,EC-6,EC-6 50-52,,,50,meters,,,,Morrison,MN,46,-93.84,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.49,,,,,,,,,,,,,Hillman Migmatite,,Granite Migmatite Mixture,,,,,,,,
EC-8 34-35,EC-8,EC-8 34-35,,,34,meters,,,,Kanabec,MN,45.88,-93.51,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.98,,,,,,,,,,,,,Foley Granite,,Granite,,,,,,,,
G10-001,Outcrop,G10-001,,,0,meters,,,,Chippewa,MN,44.92,-95.7,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.75,,,,,,,,,,,,,Montevideo Gneiss,,Tonalitic Gneiss,,,,,,,,
G10-002,Outcrop,G10-002,,,0,meters,,,,Yellow Medicine,MN,44.8,-95.55,,,,2011,Outcrop,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.68,,,,,,,,,,,,,Montevideo Gneiss,,Hornblende-Biotite Gneiss with Amphibolite pods,,,,,,,,
